data(p1365):buying(A,low):2.90348633382185 
data(p371):maint(A,low):2.2500884673330392 
data(p371):doors(A,3):0.3034336368894009 
data(p371):persons(A,more):2.359711038148464 
data(p371):lugboot(A,small):-2.506318401515749 
data(p371):safety(A,med):1.0776119399297008 
data(p730):buying(A,high):-0.7268484148791604 
data(p730):maint(A,med):1.2128915159330287 
data(p730):doors(A,morethanfive):0.5692311879610792 
data(p730):persons(A,2):-3.038475979430152 
data(p730):lugboot(A,small):-1.192248448406568 
data(p730):safety(A,low):-3.0279841103825134 
data(p1512):buying(A,low):1.9157452447937793 
data(p1512):maint(A,high):-0.6052500136531274 
data(p1512):doors(A,morethanfive):0.15409435565540003 
data(p1512):persons(A,more):2.4333568659471907 
data(p1512):lugboot(A,big):0.44272689779424773 
data(p1512):safety(A,high):2.811097209014391 
data(p772):buying(A,high):-1.1592924202745802 
data(p772):maint(A,low):1.1828014739761403 
data(p772):doors(A,2):-0.38489092230261396 
data(p772):persons(A,4):2.752162420644244 
data(p772):lugboot(A,big):1.6155578905815633 
data(p772):safety(A,low):-4.525157525279209 
data(p1301):buying(A,low):2.79531782185791 
data(p1301):maint(A,vhigh):-2.349522193932999 
data(p1301):doors(A,2):-2.0530094679345883 
data(p1301):persons(A,2):-4.4259338249096665 
data(p1301):lugboot(A,med):0.1571036024877882 
data(p1301):safety(A,med):1.326793227614143 
data(p865):buying(A,med):2.2734174400575364 
data(p865):maint(A,vhigh):-1.4062959695738728 
data(p865):doors(A,2):-1.6613966256219412 
data(p865):persons(A,2):-2.909003652386654 
data(p865):lugboot(A,small):-1.442271107186803 
data(p865):safety(A,low):-2.649243486305863 
data(p482):buying(A,high):-1.9421811167324374 
data(p482):maint(A,vhigh):-4.263965430812277 
data(p482):doors(A,3):-0.11063206200961409 
data(p482):persons(A,more):3.056991751400877 
data(p482):lugboot(A,med):0.5425059358364859 
data(p482):safety(A,med):1.294668354504859 
data(p1236):buying(A,med):1.8317526369288921 
data(p1236):maint(A,low):1.512270553759907 
data(p1236):doors(A,3):0.41298326519881184 
data(p1236):persons(A,more):2.3835145364735473 
data(p1236):lugboot(A,small):-1.2459135693249153 
data(p1236):safety(A,high):4.349946457644916 
data(p799):buying(A,high):-1.089274978602572 
data(p799):maint(A,low):1.2654113660715873 
data(p799):doors(A,3):-0.34117661505585306 
data(p799):persons(A,4):2.1325916630614485 
data(p799):lugboot(A,big):1.2333750225441262 
data(p799):safety(A,low):-4.727535583945471 
data(p794):buying(A,high):-1.740786422649842 
data(p794):maint(A,low):1.5937096533165778 
data(p794):doors(A,3):-0.3872734507904638 
data(p794):persons(A,4):2.168287256060577 
data(p794):lugboot(A,small):-1.8696324412551026 
data(p794):safety(A,med):0.7911627444944342 
data(p1149):buying(A,med):1.4943563874549077 
data(p1149):maint(A,med):1.062481841185935 
data(p1149):doors(A,4):0.5329584519919514 
data(p1149):persons(A,4):2.9268653331111527 
data(p1149):lugboot(A,med):0.2055461995527783 
data(p1149):safety(A,high):3.746475451850582 
data(p1399):buying(A,low):2.5887831001806934 
data(p1399):maint(A,vhigh):-2.1212304040440793 
data(p1399):doors(A,morethanfive):0.5626162325059093 
data(p1399):persons(A,more):2.4273975686734865 
data(p1399):lugboot(A,med):0.7701224310945778 
data(p1399):safety(A,low):-4.280186142478353 
data(p990):buying(A,med):1.2960385040535813 
data(p990):maint(A,high):-1.2627618067081423 
data(p990):doors(A,2):-0.3144635984134519 
data(p990):persons(A,4):3.1308545389920677 
data(p990):lugboot(A,big):0.9728342822461732 
data(p990):safety(A,high):3.546721963097323 
data(p569):buying(A,high):-0.5736785504612577 
data(p569):maint(A,high):0.16515703241981425 
data(p569):doors(A,3):-0.03888653730119187 
data(p569):persons(A,2):-4.210364838083024 
data(p569):lugboot(A,small):-1.7531693419936938 
data(p569):safety(A,med):0.6249638139522181 
data(p1047):buying(A,med):1.4769147603971335 
data(p1047):maint(A,high):-1.2030829391110376 
data(p1047):doors(A,4):0.3445330829838241 
data(p1047):persons(A,more):2.023363104723728 
data(p1047):lugboot(A,small):-1.3925842319700776 
data(p1047):safety(A,high):4.107415427372165 
data(p218):buying(A,vhigh):-1.6379112191563967 
data(p218):maint(A,med):1.918180409971637 
data(p218):doors(A,2):-2.135038768500998 
data(p218):persons(A,2):-3.9647594941797757 
data(p218):lugboot(A,small):-2.196118241785603 
data(p218):safety(A,med):0.9572973853960307 
data(p33):buying(A,vhigh):-2.2219575658962456 
data(p33):maint(A,vhigh):-2.7002509484677732 
data(p33):doors(A,3):-0.1542599875731892 
data(p33):persons(A,2):-3.9421143414568958 
data(p33):lugboot(A,med):0.18743637599094592 
data(p33):safety(A,high):3.577883278190582 
data(p1277):buying(A,med):1.50630936255881 
data(p1277):maint(A,low):1.3025274369823492 
data(p1277):doors(A,morethanfive):0.4168209924994099 
data(p1277):persons(A,2):-5.036285782461237 
data(p1277):lugboot(A,big):1.2012448717449313 
data(p1277):safety(A,med):2.5032593071805143 
data(p118):buying(A,vhigh):-3.0627294500656417 
data(p118):maint(A,high):-1.2617404476852643 
data(p118):doors(A,2):-0.8202824963293588 
data(p118):persons(A,4):2.9773632448721528 
data(p118):lugboot(A,small):-1.3730172964422314 
data(p118):safety(A,low):-3.468047262431925 
data(p1719):buying(A,low):1.7842020135866998 
data(p1719):maint(A,low):1.2185899050174795 
data(p1719):doors(A,morethanfive):0.28274379070685823 
data(p1719):persons(A,4):3.3955806861339726 
data(p1719):lugboot(A,big):0.3531606219204567 
data(p1719):safety(A,high):3.227006150509729 
data(p970):buying(A,med):2.3228679363214266 
data(p970):maint(A,vhigh):-1.8488062468696962 
data(p970):doors(A,morethanfive):0.27230588358506275 
data(p970):persons(A,more):2.4901865116365314 
data(p970):lugboot(A,big):0.9734061275086356 
data(p970):safety(A,low):-4.357054447284686 
data(p982):buying(A,med):1.3954244936363225 
data(p982):maint(A,high):-1.0248935315089458 
data(p982):doors(A,2):-0.9187622366599082 
data(p982):persons(A,4):3.2219472986108344 
data(p982):lugboot(A,small):-1.3170744049879184 
data(p982):safety(A,low):-4.09256638509757 
data(p202):buying(A,vhigh):-3.141173990349209 
data(p202):maint(A,high):-1.440295995482408 
data(p202):doors(A,morethanfive):0.7356435557513761 
data(p202):persons(A,4):2.043021504628198 
data(p202):lugboot(A,med):0.4780750019364712 
data(p202):safety(A,low):-3.8999613559598107 
data(p1611):buying(A,low):1.8674569098205196 
data(p1611):maint(A,med):1.0783250673696585 
data(p1611):doors(A,morethanfive):0.3181603261829664 
data(p1611):persons(A,4):3.3116914916887086 
data(p1611):lugboot(A,big):0.4209832264251079 
data(p1611):safety(A,high):3.203811912798603 
data(p686):buying(A,high):-1.5677288706189483 
data(p686):maint(A,med):1.503046408754813 
data(p686):doors(A,3):-0.4278708895644524 
data(p686):persons(A,4):2.109090239065495 
data(p686):lugboot(A,small):-1.8904445298938621 
data(p686):safety(A,med):0.8457478382539049 
data(p263):buying(A,vhigh):-2.3432358836779064 
data(p263):maint(A,med):2.0739443051699484 
data(p263):doors(A,3):0.29875528097720844 
data(p263):persons(A,more):2.3172148709024594 
data(p263):lugboot(A,small):-2.5364960945847086 
data(p263):safety(A,med):1.115500893555663 
data(p681):buying(A,high):-0.7233455073499423 
data(p681):maint(A,med):1.0813602809324736 
data(p681):doors(A,3):-0.15626077741509622 
data(p681):persons(A,2):-4.757307136923386 
data(p681):lugboot(A,med):0.2110260404009896 
data(p681):safety(A,high):3.64449522784992 
data(p243):buying(A,vhigh):-2.004048805272495 
data(p243):maint(A,med):1.8403832589197917 
data(p243):doors(A,2):-1.377649536237777 
data(p243):persons(A,more):2.1230802150685446 
data(p243):lugboot(A,big):1.3251980425189547 
data(p243):safety(A,high):3.1948000378253405 
data(p1723):buying(A,low):1.6523610852552764 
data(p1723):maint(A,low):0.9976150504047545 
data(p1723):doors(A,morethanfive):0.5773507381609436 
data(p1723):persons(A,more):2.6145365004648053 
data(p1723):lugboot(A,med):0.7799335539338313 
data(p1723):safety(A,low):-4.882841506548044 
data(p963):buying(A,med):2.4343460083437347 
data(p963):maint(A,vhigh):-2.6788495668598995 
data(p963):doors(A,morethanfive):0.22991965745521592 
data(p963):persons(A,4):2.643094262709031 
data(p963):lugboot(A,big):0.565626721981728 
data(p963):safety(A,high):3.3939751837435836 
data(p1718):buying(A,low):2.366095451866474 
data(p1718):maint(A,low):1.2361060668493948 
data(p1718):doors(A,morethanfive):0.46619184586469875 
data(p1718):persons(A,4):3.095521529070825 
data(p1718):lugboot(A,big):1.3125509877467973 
data(p1718):safety(A,med):2.7011262528767532 
data(p879):buying(A,med):2.45218602606062 
data(p879):maint(A,vhigh):-2.647680483284595 
data(p879):doors(A,2):-1.096741653779696 
data(p879):persons(A,4):2.7856720750105497 
data(p879):lugboot(A,med):-0.1525744210635878 
data(p879):safety(A,high):4.2776659136592565 
data(p164):buying(A,vhigh):-3.4401125004177104 
data(p164):maint(A,high):-1.4500820113351738 
data(p164):doors(A,4):0.5743339686232535 
data(p164):persons(A,2):-3.8600954227196587 
data(p164):lugboot(A,small):-1.8667567008939128 
data(p164):safety(A,med):0.8772458853116479 
data(p933):buying(A,med):2.457986392318602 
data(p933):maint(A,vhigh):-2.7288105791437705 
data(p933):doors(A,4):0.6037516323433153 
data(p933):persons(A,4):2.507521918057237 
data(p933):lugboot(A,med):0.23586805300055216 
data(p933):safety(A,high):3.850067574738693 
data(p688):buying(A,high):-1.0054644616659723 
data(p688):maint(A,med):1.217761120838717 
data(p688):doors(A,3):-0.7841284088578021 
data(p688):persons(A,4):1.7033243209335562 
data(p688):lugboot(A,med):0.002579579313915359 
data(p688):safety(A,low):-4.576186796353074 
data(p723):buying(A,high):-1.001661676602416 
data(p723):maint(A,med):1.1502228601721562 
data(p723):doors(A,4):0.33528872137204274 
data(p723):persons(A,more):1.8637805455358059 
data(p723):lugboot(A,small):-1.5154430979025844 
data(p723):safety(A,high):4.309786280136644 
data(p947):buying(A,med):2.4505529493606 
data(p947):maint(A,vhigh):-2.171978182471592 
data(p947):doors(A,morethanfive):0.5139562482621778 
data(p947):persons(A,2):-4.240062184570739 
data(p947):lugboot(A,small):-1.6832089582513612 
data(p947):safety(A,med):1.0801169018527998 
data(p173):buying(A,vhigh):-4.178047175199374 
data(p173):maint(A,high):-1.7379142736733248 
data(p173):doors(A,4):0.5517428182861193 
data(p173):persons(A,4):2.2069150940928535 
data(p173):lugboot(A,small):-2.1078498464180457 
data(p173):safety(A,med):0.8697834156265026 
data(p1618):buying(A,low):1.56681782853028 
data(p1618):maint(A,med):0.954074404524724 
data(p1618):doors(A,morethanfive):0.3090367125431917 
data(p1618):persons(A,more):2.3883194662137295 
data(p1618):lugboot(A,big):0.7897451073635953 
data(p1618):safety(A,low):-4.957564586593132 
data(p586):buying(A,high):-0.3234221412035562 
data(p586):maint(A,high):0.20418053155462654 
data(p586):doors(A,3):0.40503071223286247 
data(p586):persons(A,more):2.0921072623993844 
data(p586):lugboot(A,small):-1.7406939229437937 
data(p586):safety(A,low):-4.189383422731629 
data(p294):buying(A,vhigh):-2.1002518587106396 
data(p294):maint(A,med):1.92467886218237 
data(p294):doors(A,4):0.33668898581987855 
data(p294):persons(A,more):2.5504159760062004 
data(p294):lugboot(A,med):0.7077178754147264 
data(p294):safety(A,high):3.470215682876862 
data(p1715):buying(A,low):2.55064685148544 
data(p1715):maint(A,low):1.3069896701916668 
data(p1715):doors(A,morethanfive):0.8128619877813866 
data(p1715):persons(A,4):2.8104911449164134 
data(p1715):lugboot(A,med):0.33578022960777903 
data(p1715):safety(A,med):2.2524129441639866 
data(p237):buying(A,vhigh):-1.889312072916391 
data(p237):maint(A,med):1.712350857484193 
data(p237):doors(A,2):-3.0680176436731768 
data(p237):persons(A,more):1.350598371609 
data(p237):lugboot(A,small):-2.4460833143124856 
data(p237):safety(A,high):4.090252187705468 
data(p153):buying(A,vhigh):-4.136894154038662 
data(p153):maint(A,high):-2.023759389713091 
data(p153):doors(A,3):-0.28228206391410926 
data(p153):persons(A,4):2.2461505980826497 
data(p153):lugboot(A,big):0.5727086463181399 
data(p153):safety(A,high):3.300672913874642 
data(p201):buying(A,vhigh):-4.073402074607527 
data(p201):maint(A,high):-1.9346189502349076 
data(p201):doors(A,morethanfive):0.3476560096063829 
data(p201):persons(A,4):2.640441288416076 
data(p201):lugboot(A,small):-0.8813703620197133 
data(p201):safety(A,high):4.309338410549017 
data(p1411):buying(A,low):1.9489823360576497 
data(p1411):maint(A,high):0.09435593677413555 
data(p1411):doors(A,2):-0.4561455986786915 
data(p1411):persons(A,2):-3.3516425268149943 
data(p1411):lugboot(A,big):1.400830741978575 
data(p1411):safety(A,low):-3.1598962653213793 
data(p73):buying(A,vhigh):-2.2146001276962397 
data(p73):maint(A,vhigh):-2.4312269983917534 
data(p73):doors(A,4):0.5449415906971543 
data(p73):persons(A,more):1.7274200992382474 
data(p73):lugboot(A,small):-1.5778443879951038 
data(p73):safety(A,low):-3.4814952745360164 
data(p964):buying(A,med):2.5329124074796736 
data(p964):maint(A,vhigh):-1.7926433776147104 
data(p964):doors(A,morethanfive):0.40623719137035114 
data(p964):persons(A,more):2.0299439434692625 
data(p964):lugboot(A,small):-1.6030953841279199 
data(p964):safety(A,low):-4.028134441437822 
data(p336):buying(A,vhigh):-2.177575879487629 
data(p336):maint(A,low):2.376536684925962 
data(p336):doors(A,2):-1.4033513221471525 
data(p336):persons(A,4):3.693692836424387 
data(p336):lugboot(A,small):-1.242474747658371 
data(p336):safety(A,high):4.620449322795591 
data(p1136):buying(A,med):1.8983636245041706 
data(p1136):maint(A,med):1.3184487781692265 
data(p1136):doors(A,4):0.5861017265854196 
data(p1136):persons(A,2):-4.6358155465223305 
data(p1136):lugboot(A,small):-1.7340427769023603 
data(p1136):safety(A,med):1.5635871149780705 
data(p1141):buying(A,med):1.3714972673717751 
data(p1141):maint(A,med):1.0514955641209673 
data(p1141):doors(A,4):0.39135112413389633 
data(p1141):persons(A,2):-3.5390582542241544 
data(p1141):lugboot(A,big):0.7798970816932868 
data(p1141):safety(A,low):-3.4557894657759207 
data(p868):buying(A,med):2.0848616325013563 
data(p868):maint(A,vhigh):-1.4772311170557915 
data(p868):doors(A,2):-1.3341345335879102 
data(p868):persons(A,2):-3.0869786004948323 
data(p868):lugboot(A,med):0.10798202367800136 
data(p868):safety(A,low):-2.807006829177028 
data(p848):buying(A,high):-1.7210750704973676 
data(p848):maint(A,low):1.5861308221971702 
data(p848):doors(A,morethanfive):0.6399705797911582 
data(p848):persons(A,4):2.567806880737715 
data(p848):lugboot(A,small):-2.223065253563586 
data(p848):safety(A,med):1.0068816687354185 
data(p66):buying(A,vhigh):-3.0006423655557506 
data(p66):maint(A,vhigh):-3.3374716611295816 
data(p66):doors(A,4):0.42829466747185907 
data(p66):persons(A,4):2.3137785234597303 
data(p66):lugboot(A,small):-0.7305763200952334 
data(p66):safety(A,high):4.375275328745507 
data(p904):buying(A,med):2.3631223497369205 
data(p904):maint(A,vhigh):-2.148742339276784 
data(p904):doors(A,3):-0.7213030186408976 
data(p904):persons(A,4):1.699444038250805 
data(p904):lugboot(A,med):-0.11100353379463901 
data(p904):safety(A,low):-4.191795966849081 
data(p1608):buying(A,low):1.984897125256308 
data(p1608):maint(A,med):1.0547882886666218 
data(p1608):doors(A,morethanfive):0.6035617041556945 
data(p1608):persons(A,4):3.1076145208674166 
data(p1608):lugboot(A,med):0.2898568169127272 
data(p1608):safety(A,high):3.640127703713804 
data(p1074):buying(A,med):1.392237132088872 
data(p1074):maint(A,high):-1.2239170775147206 
data(p1074):doors(A,morethanfive):0.23246268454353392 
data(p1074):persons(A,more):2.07453421877378 
data(p1074):lugboot(A,small):-1.4624505240732708 
data(p1074):safety(A,high):4.115405942452326 
data(p182):buying(A,vhigh):-4.0191765576294864 
data(p182):maint(A,high):-1.6721660576066526 
data(p182):doors(A,4):0.5019815412717392 
data(p182):persons(A,more):1.9482618484947234 
data(p182):lugboot(A,small):-2.629866246057867 
data(p182):safety(A,med):1.0632094147634235 
data(p1289):buying(A,med):2.079391761798807 
data(p1289):maint(A,low):1.6119730610348961 
data(p1289):doors(A,morethanfive):0.4359367315937069 
data(p1289):persons(A,more):2.300049295613265 
data(p1289):lugboot(A,small):-2.606077491277607 
data(p1289):safety(A,med):1.6859340944377204 
data(p1142):buying(A,med):1.604041778974115 
data(p1142):maint(A,med):1.245592320432454 
data(p1142):doors(A,4):0.47176145343326376 
data(p1142):persons(A,2):-5.039933008400667 
data(p1142):lugboot(A,big):1.293411696617068 
data(p1142):safety(A,med):2.5957401471651735 
data(p578):buying(A,high):-0.8068034055302838 
data(p578):maint(A,high):-0.036287313720963874 
data(p578):doors(A,3):-0.41522437155786557 
data(p578):persons(A,4):1.9710578806659702 
data(p578):lugboot(A,small):-1.9395810787901349 
data(p578):safety(A,med):0.6076408800804568 
data(p511):buying(A,high):-1.5051671308230952 
data(p511):maint(A,vhigh):-3.1787437062256796 
data(p511):doors(A,4):0.3602848704435693 
data(p511):persons(A,more):2.199380398193004 
data(p511):lugboot(A,big):1.1465696893077997 
data(p511):safety(A,low):-4.110774537021567 
data(p811):buying(A,high):-0.961816714113456 
data(p811):maint(A,low):1.1888790956554955 
data(p811):doors(A,4):0.5055475775269366 
data(p811):persons(A,2):-2.9997200349779782 
data(p811):lugboot(A,small):-1.0911140652728804 
data(p811):safety(A,low):-3.037918833846851 
data(p203):buying(A,vhigh):-4.11674218656593 
data(p203):maint(A,high):-1.777732728536706 
data(p203):doors(A,morethanfive):0.8119810192581088 
